Kind,Date,EntryTime,Strike,OptionType,Signal,Confidence,EntrySpot,EntryPremium,TargetNifty,SLNifty,EstHoldMin,ExitTime,ExitSpot,ExitPremium,ExitReason,HoldMin,PnLSpotPct,PnLPremiumPct,PnLRupees,RollingSig,DirectionSig,CrossAssetSig
OPEN,2026-04-28,11:27:41,24100,CE,BUY CE,37.4,24073.90,41.40,24117.0,24052.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY PE
EXIT,2026-04-28,11:27:41,24100,CE,BUY CE,37.4,24073.90,41.40,24117.0,24052.0,18.0,11:30:41,24051.65,26.80,SL,3.0,-0.09,-35.27,-949,BUY CE,BUY CE,BUY PE
OPEN,2026-04-28,11:31:41,24100,CE,BUY CE,35.7,24061.50,26.80,24106.0,24040.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY PE
EXIT,2026-04-28,11:31:41,24100,CE,BUY CE,35.7,24061.50,26.80,24106.0,24040.0,18.0,11:37:41,24068.80,22.85,FLIP,6.0,0.03,-14.74,-257,BUY CE,BUY CE,BUY PE
OPEN,2026-04-28,11:37:41,24050,PE,BUY PE,36.3,24078.35,43.50,24034.0,24100.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,11:37:41,24050,PE,BUY PE,36.3,24078.35,43.50,24034.0,24100.0,9.0,11:47:41,24081.55,26.60,TIMEOUT,10.0,-0.01,-38.85,-1098,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,12:23:41,23950,PE,BUY PE,35.2,24008.20,12.10,23966.0,24029.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,12:23:41,23950,PE,BUY PE,35.2,24008.20,12.10,23966.0,24029.0,9.0,12:24:41,24008.20,12.10,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
OPEN,2026-04-28,12:24:41,24050,CE,BUY CE,35.4,24007.55,24.10,24050.0,23987.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,12:24:41,24050,CE,BUY CE,35.4,24007.55,24.10,24050.0,23987.0,18.0,12:25:41,24007.55,24.10,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
OPEN,2026-04-28,12:25:41,23950,PE,BUY PE,36.3,24016.75,18.50,23975.0,24038.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,12:25:41,23950,PE,BUY PE,36.3,24016.75,18.50,23975.0,24038.0,9.0,12:28:41,24021.70,18.50,FLIP,3.0,-0.02,0.00,0,BUY CE,BUY PE,BUY PE
OPEN,2026-04-28,12:28:41,24050,CE,BUY CE,35.8,24016.05,20.55,24058.0,23995.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,12:28:41,24050,CE,BUY CE,35.8,24016.05,20.55,24058.0,23995.0,18.0,12:33:41,23994.10,16.65,SL,5.0,-0.09,-18.98,-254,BUY CE,BUY PE,BUY PE
OPEN,2026-04-28,12:34:41,24050,CE,BUY CE,35.2,23998.35,14.50,24040.0,23977.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,NO TRADE,BUY CE
EXIT,2026-04-28,12:34:41,24050,CE,BUY CE,35.2,23998.35,14.50,24040.0,23977.0,18.0,12:36:41,24014.60,14.50,FLIP,2.0,0.07,0.00,0,BUY CE,NO TRADE,BUY CE
OPEN,2026-04-28,12:36:41,23950,PE,BUY PE,35.4,24013.25,14.05,23972.0,24034.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,12:44:41,24000,PE,BUY PE,36.3,24027.50,30.90,23988.0,24048.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,NO TRADE,BUY PE,BUY PE
EXIT,2026-04-28,12:36:41,23950,PE,BUY PE,35.4,24013.25,14.05,23972.0,24034.0,9.0,12:46:41,24032.30,10.55,TIMEOUT,10.0,-0.08,-24.91,-228,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,12:47:41,23950,PE,BUY PE,35.1,24024.05,10.55,23984.0,24044.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,NO TRADE,BUY PE,BUY PE
EXIT,2026-04-28,12:44:41,24000,PE,BUY PE,36.3,24027.50,30.90,23988.0,24048.0,9.0,12:53:41,24031.25,23.25,TIMEOUT,9.0,-0.02,-24.76,-497,NO TRADE,BUY PE,BUY PE
EXIT,2026-04-28,12:47:41,23950,PE,BUY PE,35.1,24024.05,10.55,23984.0,24044.0,9.0,12:57:41,24015.90,10.60,TIMEOUT,10.0,0.03,0.47,3,NO TRADE,BUY PE,BUY PE
OPEN,2026-04-28,12:58:41,24050,CE,BUY CE,35.2,24007.95,22.40,24048.0,23988.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,NO TRADE,BUY CE,BUY CE
EXIT,2026-04-28,12:58:41,24050,CE,BUY CE,35.2,24007.95,22.40,24048.0,23988.0,18.0,13:05:41,24025.50,18.05,FLIP,7.0,0.07,-19.42,-283,NO TRADE,BUY CE,BUY CE
OPEN,2026-04-28,13:05:41,23950,PE,BUY PE,35.4,24019.80,11.55,23979.0,24040.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY CE
OPEN,2026-04-28,13:06:41,24000,PE,BUY PE,35.9,24025.65,27.10,23986.0,24046.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY CE
EXIT,2026-04-28,13:05:41,23950,PE,BUY PE,35.4,24019.80,11.55,23979.0,24040.0,9.0,13:13:41,24029.30,8.45,FLIP,8.0,-0.04,-26.84,-202,BUY CE,BUY PE,BUY CE
EXIT,2026-04-28,13:06:41,24000,PE,BUY PE,35.9,24025.65,27.10,23986.0,24046.0,9.0,13:13:41,24029.30,21.45,FLIP,7.0,-0.02,-20.85,-367,BUY CE,BUY PE,BUY CE
OPEN,2026-04-28,13:13:41,24100,CE,BUY CE,35.0,24027.00,8.70,24066.0,24008.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-28,13:14:41,24050,CE,BUY CE,35.6,24020.95,19.45,24061.0,24001.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,NO TRADE
EXIT,2026-04-28,13:13:41,24100,CE,BUY CE,35.0,24027.00,8.70,24066.0,24008.0,18.0,13:31:41,24013.90,10.10,FLIP,18.0,-0.05,16.09,91,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-28,13:14:41,24050,CE,BUY CE,35.6,24020.95,19.45,24061.0,24001.0,18.0,13:31:41,24013.90,25.20,FLIP,17.0,-0.03,29.56,374,BUY CE,BUY CE,NO TRADE
OPEN,2026-04-28,13:31:41,23950,PE,BUY PE,39.2,24000.45,5.95,23959.0,24021.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,13:36:41,23900,PE,BUY PE,41.6,23962.25,5.85,23918.0,23984.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,13:36:41,23900,PE,BUY PE,41.6,23962.25,5.85,23918.0,23984.0,9.0,13:37:41,23986.20,12.85,SL,1.0,-0.10,119.66,455,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,13:31:41,23950,PE,BUY PE,39.2,24000.45,5.95,23959.0,24021.0,9.0,13:41:41,24008.65,20.45,TIMEOUT,10.0,-0.03,243.70,942,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,13:42:41,23950,PE,BUY PE,43.6,24007.20,12.10,23963.0,24029.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,13:42:41,23950,PE,BUY PE,43.6,24007.20,12.10,23963.0,24029.0,9.0,13:51:41,24004.15,14.90,TIMEOUT,9.0,0.01,23.14,182,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,13:52:41,23950,PE,BUY PE,41.9,24005.95,10.80,23963.0,24027.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,13:56:41,24000,PE,BUY PE,39.0,24028.60,22.35,23986.0,24050.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,13:52:41,23950,PE,BUY PE,41.9,24005.95,10.80,23963.0,24027.0,9.0,13:56:41,24028.60,8.05,SL,4.0,-0.09,-25.46,-179,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,13:57:41,23950,PE,BUY PE,41.1,24003.05,6.15,23956.0,24027.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,13:56:41,24000,PE,BUY PE,39.0,24028.60,22.35,23986.0,24050.0,9.0,14:05:41,23999.35,25.55,TIMEOUT,9.0,0.12,14.32,208,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,13:57:41,23950,PE,BUY PE,41.1,24003.05,6.15,23956.0,24027.0,9.0,14:07:41,24000.95,8.85,TIMEOUT,10.0,0.01,43.90,175,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,14:08:41,23950,PE,BUY PE,38.7,24002.55,10.55,23961.0,24024.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,14:08:41,23950,PE,BUY PE,38.7,24002.55,10.55,23961.0,24024.0,9.0,14:18:41,23990.80,15.60,TIMEOUT,10.0,0.05,47.87,328,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,14:19:41,23950,PE,BUY PE,39.4,23996.70,15.60,23954.0,24018.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,14:19:41,23950,PE,BUY PE,39.4,23996.70,15.60,23954.0,24018.0,9.0,14:29:41,23996.40,6.40,TIMEOUT,10.0,0.00,-58.97,-598,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,14:30:41,23950,PE,BUY PE,36.9,24011.25,7.65,23966.0,24034.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY CE
EXIT,2026-04-28,14:30:41,23950,PE,BUY PE,36.9,24011.25,7.65,23966.0,24034.0,9.0,14:31:41,24011.25,7.65,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,BUY CE
OPEN,2026-04-28,14:31:41,24050,CE,BUY CE,36.7,24022.15,4.60,24065.0,24001.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-28,14:31:41,24050,CE,BUY CE,36.7,24022.15,4.60,24065.0,24001.0,18.0,14:32:41,24022.15,4.60,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-28,14:32:41,24000,PE,BUY PE,37.7,24032.60,25.95,23988.0,24055.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-28,14:34:41,23950,PE,BUY PE,38.9,24021.45,2.70,23975.0,24044.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY PE
EXIT,2026-04-28,14:32:41,24000,PE,BUY PE,37.7,24032.60,25.95,23988.0,24055.0,9.0,14:39:41,24027.15,12.10,FLIP,7.0,0.02,-53.37,-900,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-28,14:34:41,23950,PE,BUY PE,38.9,24021.45,2.70,23975.0,24044.0,9.0,14:39:41,24027.15,2.40,FLIP,5.0,-0.02,-11.11,-20,BUY CE,BUY PE,BUY PE
OPEN,2026-04-28,14:39:41,24050,CE,BUY CE,38.1,24024.05,7.30,24069.0,24002.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,BUY CE
OPEN,2026-04-28,14:40:41,24100,CE,BUY CE,37.7,24029.95,1.90,24076.0,24007.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-28,14:39:41,24050,CE,BUY CE,38.1,24024.05,7.30,24069.0,24002.0,18.0,14:41:41,24029.95,8.80,FLIP,2.0,0.02,20.55,98,BUY CE,BUY PE,BUY CE
EXIT,2026-04-28,14:40:41,24100,CE,BUY CE,37.7,24029.95,1.90,24076.0,24007.0,18.0,14:41:41,24029.95,1.90,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-28,14:41:41,23950,PE,BUY PE,38.5,24021.90,1.70,23979.0,24043.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-28,14:41:41,23950,PE,BUY PE,38.5,24021.90,1.70,23979.0,24043.0,9.0,14:42:41,24021.90,1.70,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-28,14:42:41,24050,CE,BUY CE,39.2,24019.15,8.80,24063.0,23997.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY CE
OPEN,2026-04-28,14:44:41,24100,CE,BUY CE,38.6,24028.30,1.30,24074.0,24005.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,NO TRADE
OPEN,2026-04-28,15:01:41,24000,CE,BUY CE,45.9,24012.10,40.95,24055.0,23991.0,28.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY PE
EXIT,2026-04-28,14:42:41,24050,CE,BUY CE,39.2,24019.15,8.80,24063.0,23997.0,18.0,15:01:41,24012.10,7.50,TIMEOUT,19.0,-0.03,-14.77,-85,BUY CE,BUY CE,BUY CE
EXIT,2026-04-28,14:44:41,24100,CE,BUY CE,38.6,24028.30,1.30,24074.0,24005.0,18.0,15:02:41,24001.65,0.25,SL,18.0,-0.11,-80.77,-68,BUY CE,BUY CE,NO TRADE
EXIT,2026-04-28,15:01:41,24000,CE,BUY CE,45.9,24012.10,40.95,24055.0,23991.0,28.0,15:07:41,23986.00,4.90,SL,6.0,-0.11,-88.03,-2343,BUY CE,BUY CE,BUY PE
OPEN,2026-04-28,15:08:41,24000,CE,BUY CE,47.0,23980.85,2.65,24030.0,23956.0,21.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY PE
OPEN,2026-04-28,15:11:41,23950,CE,BUY CE,47.6,23972.80,35.05,24019.0,23950.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY PE
EXIT,2026-04-28,15:08:41,24000,CE,BUY CE,47.0,23980.85,2.65,24030.0,23956.0,21.0,15:29:41,24010.35,0.05,TIMEOUT,21.0,0.12,-98.11,-169,BUY CE,BUY CE,BUY PE
EXIT,2026-04-28,15:11:41,23950,CE,BUY CE,47.6,23972.80,35.05,24019.0,23950.0,18.0,15:29:41,24010.35,43.20,TIMEOUT,18.0,0.16,23.25,530,BUY CE,BUY CE,BUY PE
OPEN,2026-04-28,15:30:41,24000,CE,BUY CE,47.5,24013.95,0.05,24060.0,23991.0,25.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY CE
EXIT,2026-04-28,15:30:41,24000,CE,BUY CE,47.5,24013.95,0.05,24060.0,23991.0,25.0,15:30:41,24013.95,0.05,EOD,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY CE
OPEN,2026-04-29,09:00:41,23950,PE,BUY PE,42.3,23995.70,0.05,23947.0,24020.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:07:41,24050,PE,BUY PE,36.5,24096.90,231.55,24040.0,24125.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:00:41,23950,PE,BUY PE,42.3,23995.70,0.05,23947.0,24020.0,9.0,09:07:41,24096.90,183.90,SL,7.0,-0.42,367700.00,11950,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:16:41,24100,PE,BUY PE,46.8,24100.30,0.00,24044.0,24128.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
EXIT,2026-04-29,09:07:41,24050,PE,BUY PE,36.5,24096.90,231.55,24040.0,24125.0,9.0,09:17:41,24111.80,231.55,TIMEOUT,10.0,-0.06,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:23:41,24050,PE,BUY PE,46.3,24073.10,160.25,24014.0,24103.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:16:41,24100,PE,BUY PE,46.8,24100.30,0.00,24044.0,24128.0,9.0,09:25:41,24072.45,182.20,TIMEOUT,9.0,0.12,0.00,0,BUY PE,BUY PE,NO TRADE
OPEN,2026-04-29,09:26:41,24100,PE,BUY PE,46.3,24093.50,202.80,24033.0,24124.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:23:41,24050,PE,BUY PE,46.3,24073.10,160.25,24014.0,24103.0,9.0,09:27:41,24108.85,178.50,SL,4.0,-0.15,11.39,1186,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:34:41,24050,PE,BUY PE,42.5,24093.10,148.20,24031.0,24124.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY CE
EXIT,2026-04-29,09:26:41,24100,PE,BUY PE,46.3,24093.50,202.80,24033.0,24124.0,9.0,09:35:41,24099.20,169.80,TIMEOUT,9.0,-0.02,-16.27,-2145,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:43:41,24100,PE,BUY PE,41.3,24125.60,172.75,24065.0,24156.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:34:41,24050,PE,BUY PE,42.5,24093.10,148.20,24031.0,24124.0,9.0,09:43:41,24125.60,151.40,SL,9.0,-0.13,2.16,208,BUY PE,BUY PE,BUY CE
EXIT,2026-04-29,09:43:41,24100,PE,BUY PE,41.3,24125.60,172.75,24065.0,24156.0,9.0,09:47:41,24156.30,155.00,SL,4.0,-0.13,-10.27,-1154,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:48:41,24100,PE,BUY PE,43.8,24156.25,151.85,24095.0,24187.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,09:54:41,24150,PE,BUY PE,41.8,24175.25,166.20,24115.0,24205.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:48:41,24100,PE,BUY PE,43.8,24156.25,151.85,24095.0,24187.0,9.0,09:57:41,24172.35,145.40,TIMEOUT,9.0,-0.07,-4.25,-419,BUY PE,BUY PE,BUY PE
EXIT,2026-04-29,09:54:41,24150,PE,BUY PE,41.8,24175.25,166.20,24115.0,24205.0,9.0,10:02:41,24209.50,157.15,SL,8.0,-0.14,-5.45,-588,BUY PE,BUY PE,BUY PE
OPEN,2026-04-29,13:37:41,24350,CE,BUY CE,36.5,24298.50,183.20,24330.0,24283.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,NO TRADE
EXIT,2026-04-29,13:37:41,24350,CE,BUY CE,36.5,24298.50,183.20,24330.0,24283.0,18.0,13:40:41,24279.10,177.25,SL,3.0,-0.08,-3.25,-387,BUY CE,BUY CE,NO TRADE
OPEN,2026-04-29,13:41:41,24300,CE,BUY CE,38.6,24274.75,203.65,24307.0,24259.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,BUY CE
OPEN,2026-04-29,13:42:41,24350,CE,BUY CE,38.9,24277.85,171.70,24310.0,24262.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY CE,NO TRADE
EXIT,2026-04-29,13:42:41,24350,CE,BUY CE,38.9,24277.85,171.70,24310.0,24262.0,18.0,13:48:41,24259.90,163.75,SL,6.0,-0.07,-4.63,-517,BUY CE,BUY CE,NO TRADE
EXIT,2026-04-29,13:41:41,24300,CE,BUY CE,38.6,24274.75,203.65,24307.0,24259.0,18.0,13:53:41,24273.85,186.30,FLIP,12.0,-0.00,-8.52,-1128,BUY CE,BUY CE,BUY CE
OPEN,2026-04-29,13:53:41,24250,PE,BUY PE,35.8,24283.30,166.70,24250.0,24300.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-29,13:53:41,24250,PE,BUY PE,35.8,24283.30,166.70,24250.0,24300.0,9.0,13:54:41,24283.30,166.70,FLIP,1.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-29,13:54:41,24300,CE,BUY CE,36.1,24272.80,186.30,24307.0,24256.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-29,13:55:41,24350,CE,BUY CE,36.0,24275.90,161.65,24310.0,24259.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-29,13:54:41,24300,CE,BUY CE,36.1,24272.80,186.30,24307.0,24256.0,18.0,14:00:41,24253.50,185.00,SL,6.0,-0.08,-0.70,-85,BUY CE,BUY PE,NO TRADE
EXIT,2026-04-29,13:55:41,24350,CE,BUY CE,36.0,24275.90,161.65,24310.0,24259.0,18.0,14:00:41,24253.50,160.10,SL,5.0,-0.09,-0.96,-101,BUY CE,BUY PE,NO TRADE
OPEN,2026-04-29,14:01:41,24200,PE,BUY PE,37.3,24257.40,147.70,24223.0,24274.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY CE
EXIT,2026-04-29,14:01:41,24200,PE,BUY PE,37.3,24257.40,147.70,24223.0,24274.0,9.0,14:04:41,24233.80,149.75,FLIP,3.0,0.10,1.39,133,BUY PE,BUY PE,BUY CE
OPEN,2026-04-29,14:04:41,24250,CE,BUY CE,39.6,24206.50,209.50,24246.0,24187.0,18.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY CE,BUY CE
EXIT,2026-04-29,14:04:41,24250,CE,BUY CE,39.6,24206.50,209.50,24246.0,24187.0,18.0,14:05:41,24206.50,209.50,FLIP,1.0,0.00,0.00,0,BUY PE,BUY CE,BUY CE
